mz,rt,t.score,p.value,mode
165.04037,13.43,-1.07,2.04574515760836e-06,negative
165.04036,13.4,-0.75,0.00012733835998413,negative
116.98267,15.377,-1.83,0.00143141684343873,negative
187.65674,10.773,1.48,0.0116273071346394,negative
118.9983,14.249,-0.98,0.0139873159145767,negative
181.97146,28.618,2.27,0.0142816621950698,negative
118.9983,14.535,-0.66,0.0186212769898746,negative
236.50153,5.968,-0.79,0.0228267015461222,negative
98.96399,14.33,-1,0.0229196715184509,negative
187.00141,3.448,-1.44,0.0338192568761753,negative
170.99347,19.226,-0.82,0.118620413708621,negative
105.01902,8.949,-0.7,0.134472280048739,negative
215.03263,4.478,0.8,0.16106857654624,negative
295.99074,25.898,-2.6,0.185306118664956,negative
140.98612,15.131,-0.61,0.249563062131228,negative
186.6625,15.609,-2.63,0.249681053090642,negative
140.91925,21.338,-0.88,0.256782028387104,negative
75.00844,9.748,-0.91,0.27388337007019,negative
297.24353,28.612,2.16,0.28201350516977,negative
90.02834,9.869,1.8,0.338161137936065,negative
206.99461,4.326,-3.37,0.395391418468492,negative
155.00185,10.533,-0.38,0.408565954458781,negative
161.04549,1.184,-0.79,0.525538829525716,negative
192.9969,2.365,-2.47,0.5309003577231,negative
61.98801,1.152,-0.71,0.578689747710163,negative
185.04544,14.996,1.14,0.591846412298646,negative
301.99045,11.149,-1.8,0.597883378652982,negative
339.20001,28.638,1.61,0.601569504940425,negative
313.23833,1.23,-0.96,0.617041670404049,negative
140.00999,19.026,1.16,0.640460236498138,negative
183.99993,18.99,1.28,0.650546447036826,negative
191.3225,26.851,-1.11,0.65882214050197,negative
188.98624,22.384,1.08,0.664241727697653,negative
289.00116,10.689,-1.44,0.666982833243109,negative
197.02657,15.42,0.73,0.668010794374431,negative
113.98673,19.691,2.05,0.672305014221537,negative
154.9985,15.593,0.8,0.687791388514671,negative
193.67528,26.232,-1.49,0.701120001424685,negative
139.00348,1.242,2.21,0.704516044732112,negative
171.00635,28.452,1.3,0.708442504666037,negative
182.99679,18.985,1.27,0.721716142753559,negative
313.00403,13.377,-1.12,0.74214895265636,negative
162.04209,25.444,-0.76,0.75286063632876,negative
59.01425,28.731,-8.28,0.817896172293749,negative
175.04188,9.262,-1.94,0.822249351846508,negative
189.99207,4.24,-4.09,0.82391373411226,negative
206.99438,27.25,1.45,0.841590929909657,negative
181.66197,27.124,1.19,0.858785231375921,negative
92.92773,12.934,-0.76,0.867812159366394,negative
313.00404,13.399,-1.03,0.877607411586287,negative
306.07652,26.231,-0.61,0.88060768683688,negative
171.10262,1.315,1.66,0.885031867943479,negative
283.00111,2.151,-1.68,0.886868353885154,negative
219.0509,16.179,-1.03,0.900269823145234,negative
123.90183,16.314,-1,0.907771539419832,negative
59.98507,0.966,-1.39,0.907816976163826,negative
69.03423,13.575,1.24,0.916128034321966,negative
131.07121,11.364,0.49,0.917874692990086,negative
168.06656,1.215,1.05,0.921338228938178,negative
171.10258,15.452,0.91,0.928945732073543,negative
317.11185,25.644,0.99,0.931302058100594,negative
196.02507,16.575,1.12,0.931936062448956,negative
223.06108,16.573,1.09,0.934888836296865,negative
147.0491,1.066,1.37,0.9357729300245,negative
129.0555,15.575,0.55,0.93579543863512,negative
193.05047,23.506,-0.9,0.935870744521143,negative
123.0085,1.166,0.76,0.936801907671254,negative
229.05048,1.221,2.49,0.938043432226631,negative
131.07117,11.795,-0.36,0.940485362317626,negative
122.97549,15.076,-0.42,0.940928242463885,negative
125.02418,1.222,1.34,0.943998118165545,negative
192.325,3.304,1.34,0.944395135166342,negative
61.988,1.489,-0.32,0.944484495384849,negative
89.02536,6.008,-3.23,0.945122946107847,negative
158.94398,1.117,-0.59,0.94613340190948,negative
179.07129,1.223,1.11,0.947641915726365,negative
132.02999,25.805,-0.58,0.94897678229654,negative
101.06049,1.251,-0.43,0.95017020401912,negative
83.04993,1.307,1.81,0.952640904230017,negative
173.00902,16.473,-0.25,0.952987992124887,negative
146.0457,28.873,1.51,0.953600909937775,negative
89.02536,28.109,-2.17,0.955340382734679,negative
179.03494,16.828,-0.42,0.96002385381212,negative
97.02919,1.274,1.07,0.962696411990572,negative
101.02411,8.893,-0.38,0.963428290717177,negative
181.01419,18.113,0.63,0.963755718817159,negative
153.01924,1.325,2.2,0.969571039352232,negative
111.01972,1.016,-1.11,0.969856792226267,negative
197.12956,14.007,-0.36,0.971256015762675,negative
85.02918,12.176,-0.58,0.971299565776454,negative
136.03444,16.943,-0.71,0.971335946904309,negative
252.99982,4.215,-1.46,0.971760555029412,negative
189.07674,13.457,-0.75,0.975026697512057,negative
196.02506,22.212,-0.55,0.975828707853881,negative
252.9992,13.534,0.87,0.977378136664686,negative
221.0023,4.19,-1.7,0.980514854550409,negative
183.10258,11.594,0.46,0.980588375302916,negative
298.98745,12.202,-1.51,0.98123356227948,negative
409.10837,1.233,2.45,0.98258967057976,negative
154.96547,17.272,-0.64,0.983309355378788,negative
181.66185,2.147,-0.79,0.985985464548741,negative
203.05596,13.624,-0.85,0.986924869593225,negative
192.33156,15.96,-3.1,0.987559120419147,negative
155.02673,1.035,1.54,0.99008820700046,negative
165.01926,28.488,0.85,0.991721844094773,negative
181.01419,22.597,0.88,0.992144013257365,negative
99.00844,8.929,-0.32,0.992517964114757,negative
202.00164,25.717,0.91,0.993389567251682,negative
305.08173,1.227,1.55,0.99430407206431,negative
203.65985,23.503,-1.74,0.994477308731265,negative
138.97045,14.929,-0.22,0.994870699453639,negative
113.02414,1.173,0.37,0.994936399340048,negative
169.08703,1.254,-3.43,0.995207618892533,negative
243.16006,1.263,-0.94,0.995764575801046,negative
208.93728,14.81,0.59,0.995907678410652,negative
172.95789,28.514,0.47,0.996244034316767,negative
175.02473,13.577,0.72,0.996345325551388,negative
189.92358,1.201,-0.46,0.996640108077753,negative
272.99109,12.311,-0.62,0.99667334298136,negative
99.00848,1.245,2.46,0.996785073408626,negative
170.08231,13.385,-0.54,0.996805276627499,negative
173.04546,11.547,-0.13,0.996833434367381,negative
197.02773,10.738,0.95,0.996849272935812,negative
233.00649,1.555,0.83,0.996956955757988,negative
195.49551,17.867,0.92,0.997089292271077,negative
146.92598,20.493,0.51,0.997345771765738,negative
193.66321,20.707,-1.8,0.997641963907467,negative
259.99726,10.14,1.05,0.997786083794804,negative
87.04485,1.118,-0.48,0.998053081301535,negative
94.0295,26.401,-1.29,0.998307873427225,negative
136.99121,11.532,-0.96,0.998329976101544,negative
208.93453,17.775,-0.6,0.998407063201954,negative
152.00217,13.364,1.36,0.998421035270641,negative
211.99645,23.721,-2.25,0.998740267846923,negative
173.43442,19.567,2.46,0.998744841698265,negative
115.07617,1.168,-0.09,0.998773091541039,negative
101.0241,13.474,-0.22,0.999135157148368,negative
113.02402,15.056,0.72,0.999145768078111,negative
168.98116,14.648,1.17,0.999168741655559,negative
88.98778,28.559,0.45,0.999171472446673,negative
198.33514,21.433,-0.78,0.999248320004239,negative
205.99112,12.454,-0.64,0.999254773086902,negative
157.05055,14.698,0.39,0.999280214189067,negative
160.06183,1.271,-0.34,0.999328532896316,negative
168.02775,1.18,1.02,0.999355214151404,negative
83.02478,1.262,2.89,0.999357455146506,negative
175.09755,11.544,0.46,0.999368688895633,negative
159.10261,15.675,0.34,0.999421060343228,negative
111.0085,1.22,0.56,0.999436475048213,negative
136.99121,12.019,-0.75,0.999461738615273,negative
72.9928,1.236,-0.49,0.999484232338261,negative
111.0449,1.253,2.48,0.999532661154093,negative
120.00162,14.531,-1.41,0.999556288476945,negative
203.056,28.939,5.29,0.999608411200344,negative
147.02975,16.769,-0.27,0.999612877769371,negative
175.06111,16.225,0.66,0.99961558620997,negative
287.99333,5.522,-1.15,0.999621841574421,negative
114.99451,20.39,1.79,0.999631547841257,negative
85.00405,4.341,-0.28,0.999636255348751,negative
187.69094,14.907,0.39,0.999640570698649,negative
187.09751,1.202,-0.18,0.999657477031634,negative
173.43743,9.413,0.85,0.999659172989201,negative
165.01914,18.305,1.79,0.999666116500148,negative
323.0284,17.535,-0.24,0.999683188847473,negative
122.96733,1.062,-0.36,0.999700876062497,negative
125.02417,0.963,0.45,0.999710143448671,negative
96.96945,12.662,0.27,0.999712721180363,negative
128.03503,8.63,-0.19,0.999717014949115,negative
85.02917,2.171,1.06,0.999718463716431,negative
224.98628,4.715,-0.66,0.999718663429092,negative
193.03522,13.511,0.72,0.999718664177639,negative
92.32786,4.288,-1.32,0.999737792923366,negative
196.93143,14.321,-0.22,0.999750965090735,negative
112.93702,17.498,-1.12,0.999760666917226,negative
163.02477,13.652,0.6,0.999763319895948,negative
309.27984,1.29,-0.86,0.999767519338511,negative
281.24847,1.211,-0.23,0.999769199597328,negative
290.00897,18.531,-0.95,0.999802725839128,negative
281.05999,15.469,1.07,0.999803675724612,negative
75.00845,9.133,0.41,0.999816686421882,negative
