mz,rt,t.score,p.value,mode
182.00932,16.117,-0.89,0.993939711748166,negative
121.02921,16.829,0.3,0.993940039448852,negative
195.99208,15.332,0.8,0.994619338296252,negative
165.01928,13.399,0.92,0.994823399177461,negative
154.91866,12.924,-0.71,0.99519283600937,negative
152.98615,14.702,0.42,0.995300726100796,negative
72.99279,12.151,0.53,0.995389802089255,negative
92.92773,12.934,-1.63,0.995579947616496,negative
166.0226,16.867,0.34,0.995782916588114,negative
203.66656,19.744,1.5,0.995822777245863,negative
189.07673,15.381,-0.2,0.996177153770633,negative
282.4955,18.108,1.23,0.996291955497761,negative
181.01419,22.597,0.81,0.996394269841578,negative
123.90183,1.29,-0.78,0.996684197163263,negative
167.01593,15.494,-0.88,0.997067039880326,negative
211.09756,1.227,0.51,0.997069980903658,negative
181.66223,25.855,-1.33,0.997096284946376,negative
145.03662,28.642,-2.87,0.997141878062033,negative
135.03105,1.263,0.89,0.997201267141725,negative
210.9892,23.88,-0.77,0.99724649994375,negative
113.98673,19.691,-1.35,0.997386288378765,negative
157.0106,16.041,0.7,0.997470535239378,negative
232.88321,14.532,-0.59,0.997523518719453,negative
108.02138,1.227,0.6,0.997536935880924,negative
201.11324,1.263,-0.8,0.997593519465756,negative
277.1807,25.999,0.75,0.997649311081222,negative
85.02918,12.176,0.6,0.997681832975419,negative
157.05055,14.698,0.35,0.997700837620787,negative
168.98932,24.19,0.36,0.997738091386044,negative
291.97671,22.915,2.36,0.997840283834202,negative
271.99838,28.598,-2.17,0.997907908970349,negative
220.8872,14.398,0.42,0.998047966127343,negative
198.33496,16.039,1.67,0.998078295866609,negative
179.05606,4.547,0.36,0.998260431259743,negative
197.02773,10.738,-1.1,0.998346927774048,negative
339.19992,6.211,0.59,0.998420238365727,negative
194.00456,25.776,-0.71,0.998423397799665,negative
59.98507,0.966,0.74,0.998427506285789,negative
78.95876,12.919,0.54,0.998440849842129,negative
199.13389,1.473,-0.17,0.998525652425834,negative
143.07121,2.204,-1.44,0.998531532574942,negative
101.06049,1.251,0.26,0.998649680841658,negative
85.02919,13.486,0.53,0.998901346673326,negative
198.99176,1.275,-0.32,0.998962190723452,negative
105.01902,8.949,0.4,0.998985190606263,negative
305.08173,1.227,-0.89,0.998993993693871,negative
117.92839,18.079,0.37,0.999031196436909,negative
179.03493,16.689,-0.21,0.99906209472816,negative
168.98116,14.648,0.42,0.999128159792912,negative
195.06369,8.757,0.55,0.999227565729664,negative
